date,state,beds_covid,beds_noncrit,admitted_pui,admitted_covid,discharged_pui,discharged_covid,hosp_covid,hosp_pui
2020-03-24,Johor,434,1408,0,0,0,0,18,9
2020-03-24,Kedah,143,1183,0,0,0,0,46,5
2020-03-24,Kelantan,280,1424,9,6,1,0,78,58
2020-03-24,Melaka,82,1065,0,0,0,0,19,10
2020-03-24,Negeri Sembilan,253,1205,0,0,0,0,90,13
2020-03-24,Pahang,87,830,0,0,0,0,36,14
2020-03-24,Perak,211,1667,0,0,0,1,78,40
2020-03-24,Perlis,12,495,0,0,0,0,7,8
2020-03-24,Pulau Pinang,86,1132,0,0,0,0,68,2
2020-03-24,Sabah,605,2528,0,0,0,0,161,46
2020-03-24,Sarawak,418,2327,0,0,0,0,73,85
2020-03-24,Selangor,504,783,5,16,0,24,261,39
2020-03-24,Terengganu,215,1209,0,0,0,0,9,6
2020-03-24,W.P. Kuala Lumpur,248,1537,0,0,0,0,70,15
2020-03-24,W.P. Labuan,9,115,0,0,0,0,5,3
2020-03-25,Johor,511,1408,20,14,26,0,134,120
2020-03-25,Kedah,165,1183,17,5,0,0,94,31
2020-03-25,Kelantan,66,1321,0,0,0,0,0,0
2020-03-25,Melaka,95,1065,0,2,0,1,38,11
2020-03-25,Negeri Sembilan,262,1205,1,16,2,5,98,2
2020-03-25,Pahang,114,742,1,4,9,1,11,40
2020-03-25,Perak,311,1964,28,5,0,0,94,46
2020-03-25,Perlis,12,495,0,1,17,1,10,21
2020-03-25,Pulau Pinang,86,1132,6,2,2,4,43,4
2020-03-25,Sabah,622,2528,6,0,0,0,167,58
2020-03-25,Sarawak,418,2327,7,5,5,4,78,63
2020-03-25,Selangor,476,741,7,33,0,6,281,55
2020-03-25,Terengganu,215,1094,3,1,0,0,35,70
2020-03-25,W.P. Kuala Lumpur,248,1537,4,22,0,0,146,25
2020-03-25,W.P. Labuan,10,115,1,0,0,0,0,1
2020-03-26,Johor,511,1408,5,7,0,3,170,30
2020-03-26,Kedah,165,1183,1,5,0,0,52,6
2020-03-26,Kelantan,274,1529,10,12,4,0,89,62
2020-03-26,Melaka,95,1065,0,0,0,0,0,0
2020-03-26,Negeri Sembilan,262,1205,2,14,0,2,106,3
2020-03-26,Pahang,114,742,4,4,0,0,44,15
2020-03-26,Perak,311,1964,16,4,3,0,149,30
2020-03-26,Perlis,12,495,1,0,0,0,0,3
2020-03-26,Pulau Pinang,86,1132,0,4,2,3,52,2
2020-03-26,Sabah,622,2528,11,1,2,0,168,66
2020-03-26,Sarawak,418,2327,12,3,6,0,62,53
2020-03-26,Selangor,476,741,8,23,14,13,283,34
2020-03-26,Terengganu,215,1094,0,0,0,0,36,99
2020-03-26,W.P. Kuala Lumpur,248,1537,4,12,9,10,136,21
2020-03-26,W.P. Labuan,10,115,7,0,0,0,0,8
2020-03-27,Johor,511,1408,40,20,0,0,199,33
2020-03-27,Kedah,165,1183,1,4,1,6,50,6
2020-03-27,Kelantan,274,1529,13,7,7,5,94,68
2020-03-27,Melaka,95,1065,7,0,0,1,25,15
2020-03-27,Negeri Sembilan,262,1205,2,6,14,11,103,4
2020-03-27,Pahang,114,742,11,2,4,0,49,19
2020-03-27,Perak,311,1964,13,7,1,0,159,42
2020-03-27,Perlis,12,495,0,0,0,0,0,3
2020-03-27,Pulau Pinang,86,1132,0,3,0,2,47,0
2020-03-27,Sabah,622,2528,5,1,4,8,161,67
2020-03-27,Sarawak,418,2327,19,5,5,1,66,61
2020-03-27,Selangor,476,741,7,28,6,8,281,35
2020-03-27,Terengganu,215,1094,1,0,0,0,36,100
2020-03-27,W.P. Kuala Lumpur,248,1537,6,16,10,12,152,20
2020-03-27,W.P. Labuan,10,115,7,0,0,0,0,7
2020-03-28,Johor,459,1373,26,13,0,16,212,39
2020-03-28,Kedah,165,1183,0,2,3,1,50,3
2020-03-28,Kelantan,309,1570,4,10,0,3,82,89
2020-03-28,Melaka,95,1065,6,7,0,1,31,10
2020-03-28,Negeri Sembilan,262,1205,0,11,17,13,103,2
2020-03-28,Pahang,180,1473,10,8,9,13,50,43
2020-03-28,Perak,321,2551,16,9,3,0,166,58
2020-03-28,Perlis,12,495,0,0,1,0,0,2
2020-03-28,Pulau Pinang,86,1132,1,5,0,8,45,1
2020-03-28,Sabah,678,2528,10,12,0,0,173,77
2020-03-28,Sarawak,418,2327,11,10,9,1,85,66
2020-03-28,Selangor,476,741,18,35,3,19,289,46
2020-03-28,Terengganu,215,1179,2,3,9,0,39,93
2020-03-28,W.P. Kuala Lumpur,278,1537,11,31,4,9,166,34
2020-03-28,W.P. Labuan,15,115,1,0,4,0,0,5
2020-03-29,Johor,459,1373,51,26,22,0,229,79
2020-03-29,Kedah,165,1183,2,1,0,3,48,4
2020-03-29,Kelantan,309,1570,5,7,1,6,106,70
2020-03-29,Melaka,95,1065,5,4,5,2,32,9
2020-03-29,Negeri Sembilan,262,1205,4,14,0,9,108,6
2020-03-29,Pahang,180,1473,8,24,6,2,68,45
2020-03-29,Perak,321,2551,4,8,7,14,155,46
2020-03-29,Perlis,12,495,3,0,1,0,0,3
2020-03-29,Pulau Pinang,86,1132,0,1,1,7,39,0
2020-03-29,Sabah,678,2528,10,13,4,1,186,83
2020-03-29,Sarawak,418,2327,6,11,3,0,65,44
2020-03-29,Selangor,476,741,5,37,8,23,300,45
2020-03-29,Terengganu,215,1179,0,3,0,0,42,93
2020-03-29,W.P. Kuala Lumpur,278,1537,6,22,1,27,162,36
2020-03-29,W.P. Labuan,15,115,0,0,0,0,0,5
2020-03-30,Johor,459,1373,17,24,9,22,234,51
2020-03-30,Kedah,165,1183,4,2,0,3,47,8
2020-03-30,Kelantan,309,1570,10,19,17,6,103,56
2020-03-30,Melaka,95,1065,2,4,2,1,35,10
2020-03-30,Negeri Sembilan,262,1205,2,9,0,1,112,6
2020-03-30,Pahang,180,1473,5,0,4,4,64,44
