date,state,beds_icu_covid,icu_covid,icu_pui,vent_covid,vent_pui
2020-03-24,Johor,10,0,0,0,0
2020-03-24,Kedah,16,2,1,1,1
2020-03-24,Kelantan,20,1,0,1,0
2020-03-24,Melaka,12,0,2,0,1
2020-03-24,Negeri Sembilan,10,0,0,0,0
2020-03-24,Pahang,7,2,0,1,0
2020-03-24,Perak,17,24,2,4,2
2020-03-24,Perlis,4,0,0,0,0
2020-03-24,Pulau Pinang,6,0,0,0,0
2020-03-24,Sabah,60,1,0,1,0
2020-03-24,Sarawak,26,7,1,7,1
2020-03-24,Selangor,42,23,0,12,0
2020-03-24,Terengganu,12,0,0,0,0
2020-03-24,W.P. Kuala Lumpur,30,9,0,9,0
2020-03-24,W.P. Labuan,0,0,0,0,0
2020-03-25,Johor,10,2,0,1,0
2020-03-25,Kedah,16,3,0,2,0
2020-03-25,Kelantan,20,3,2,2,0
2020-03-25,Melaka,12,0,1,0,1
2020-03-25,Negeri Sembilan,10,1,0,0,0
2020-03-25,Pahang,7,2,0,2,0
2020-03-25,Perak,17,8,0,7,0
2020-03-25,Perlis,4,0,0,0,0
2020-03-25,Pulau Pinang,6,1,0,1,0
2020-03-25,Sabah,60,1,0,1,0
2020-03-25,Sarawak,26,10,0,9,0
2020-03-25,Selangor,42,19,0,15,0
2020-03-25,Terengganu,12,0,0,0,0
2020-03-25,W.P. Kuala Lumpur,30,10,0,10,0
2020-03-25,W.P. Labuan,0,0,0,0,0
2020-03-26,Johor,10,3,2,1,0
2020-03-26,Kedah,16,3,1,2,1
2020-03-26,Kelantan,20,4,2,1,2
2020-03-26,Melaka,12,0,2,0,1
2020-03-26,Negeri Sembilan,10,3,0,2,0
2020-03-26,Pahang,7,2,0,2,0
2020-03-26,Perak,17,9,2,8,2
2020-03-26,Perlis,4,0,1,0,1
2020-03-26,Pulau Pinang,6,1,0,1,0
2020-03-26,Sabah,60,3,1,2,1
2020-03-26,Sarawak,26,10,1,9,1
2020-03-26,Selangor,42,24,2,12,0
2020-03-26,Terengganu,12,0,0,0,0
2020-03-26,W.P. Kuala Lumpur,30,9,0,9,0
2020-03-26,W.P. Labuan,0,0,0,0,0
2020-03-27,Johor,10,5,0,2,0
2020-03-27,Kedah,16,2,1,2,1
2020-03-27,Kelantan,20,5,3,1,3
2020-03-27,Melaka,12,0,2,0,1
2020-03-27,Negeri Sembilan,10,4,0,4,0
2020-03-27,Pahang,7,2,0,2,0
2020-03-27,Perak,17,9,2,7,2
2020-03-27,Perlis,4,0,1,0,1
2020-03-27,Pulau Pinang,6,1,0,1,0
2020-03-27,Sabah,60,3,1,2,1
2020-03-27,Sarawak,26,10,2,9,2
2020-03-27,Selangor,42,25,2,14,0
2020-03-27,Terengganu,12,0,0,0,0
2020-03-27,W.P. Kuala Lumpur,30,9,0,8,0
2020-03-27,W.P. Labuan,0,0,0,0,0
2020-03-28,Johor,10,9,0,7,0
2020-03-28,Kedah,16,4,2,3,2
2020-03-28,Kelantan,25,5,4,1,2
2020-03-28,Melaka,12,0,2,0,1
2020-03-28,Negeri Sembilan,10,5,0,4,0
2020-03-28,Pahang,33,2,1,2,1
2020-03-28,Perak,46,10,3,9,3
2020-03-28,Perlis,4,0,1,0,1
2020-03-28,Pulau Pinang,6,1,0,1,0
2020-03-28,Sabah,56,4,0,3,0
2020-03-28,Sarawak,14,12,0,10,0
2020-03-28,Selangor,42,31,2,18,1
2020-03-28,Terengganu,12,0,0,0,0
2020-03-28,W.P. Kuala Lumpur,30,11,0,7,0
2020-03-28,W.P. Labuan,0,0,0,0,0
2020-03-29,Johor,10,8,0,6,0
2020-03-29,Kedah,16,5,0,3,0
2020-03-29,Kelantan,25,6,6,1,3
2020-03-29,Melaka,12,0,0,0,0
2020-03-29,Negeri Sembilan,10,5,0,3,0
2020-03-29,Pahang,33,6,0,2,0
2020-03-29,Perak,46,11,3,7,3
2020-03-29,Perlis,4,0,1,0,1
2020-03-29,Pulau Pinang,6,1,0,1,0
2020-03-29,Sabah,56,3,0,2,0
2020-03-29,Sarawak,14,13,0,10,0
2020-03-29,Selangor,42,30,2,19,1
2020-03-29,Terengganu,12,0,0,0,0
