date,state,cases_import,cases_new,cases_recovered,deaths_new,beds_covid,beds_noncrit,admitted_pui,admitted_covid,discharged_pui,discharged_covid,hosp_covid,hosp_pui
2020-08-01,Johor,0,0,0.0,0,586,2579,2,1,0,3,38,9
2020-08-01,Kedah,0,1,0.0,0,170,1183,3,0,0,0,9,4
2020-08-01,Kelantan,0,0,0.0,0,217,1381,0,0,0,0,0,0
2020-08-01,Melaka,0,0,0.0,0,26,1039,0,0,0,0,0,2
2020-08-01,Negeri Sembilan,0,0,0.0,0,430,1205,0,0,0,0,1,0
2020-08-01,Pahang,0,0,0.0,0,78,1616,0,0,0,0,5,0
2020-08-01,Perak,2,2,0.0,0,235,2549,0,2,0,0,6,0
2020-08-01,Perlis,0,0,0.0,0,12,495,0,0,0,0,1,1
2020-08-01,Pulau Pinang,0,0,0.0,0,4,1124,1,0,0,0,0,2
2020-08-01,Sabah,0,0,0.0,0,410,2478,11,0,0,0,12,7
2020-08-01,Sarawak,0,0,3.0,0,785,2320,29,1,19,11,7,42
2020-08-01,Selangor,5,6,0.0,0,224,783,7,4,6,1,26,39
2020-08-01,Terengganu,0,0,0.0,0,132,1209,0,0,0,0,0,3
2020-08-01,W.P. Kuala Lumpur,0,0,0.0,0,87,2510,0,0,0,0,0,1
2020-08-01,W.P. Labuan,0,0,0.0,0,11,115,0,0,0,0,0,0
2020-08-02,Johor,0,0,0.0,0,586,2579,1,2,2,1,37,10
2020-08-02,Kedah,0,11,0.0,0,170,1183,1,9,0,0,21,1
2020-08-02,Kelantan,0,0,0.0,0,217,1381,0,0,0,0,0,0
2020-08-02,Melaka,0,0,0.0,0,26,1039,0,0,1,0,0,1
2020-08-02,Negeri Sembilan,0,0,0.0,0,430,1205,0,0,0,0,1,0
2020-08-02,Pahang,0,0,0.0,0,78,1616,0,0,0,0,5,0
2020-08-02,Perak,0,0,2.0,0,235,2549,1,0,0,4,4,1
2020-08-02,Perlis,0,0,0.0,0,12,495,0,0,0,0,1,1
2020-08-02,Pulau Pinang,0,0,0.0,0,4,1124,0,0,0,0,0,2
2020-08-02,Sabah,0,2,1.0,0,410,2478,1,0,0,0,12,10
2020-08-02,Sarawak,0,0,9.0,0,785,2320,16,0,14,3,6,42
2020-08-02,Selangor,1,1,2.0,0,224,783,2,5,4,4,27,37
2020-08-02,Terengganu,0,0,0.0,0,132,1209,0,0,0,0,0,3
2020-08-02,W.P. Kuala Lumpur,0,0,3.0,0,87,2510,0,0,0,0,0,1
2020-08-02,W.P. Labuan,0,0,0.0,0,11,115,0,0,0,0,0,0
2020-08-03,Johor,0,0,0.0,0,586,2579,2,0,1,0,37,11
2020-08-03,Kedah,0,1,0.0,0,170,1183,0,0,0,0,20,0
2020-08-03,Kelantan,0,0,0.0,0,217,1381,0,0,0,0,0,0
2020-08-03,Melaka,0,0,0.0,0,26,1039,0,0,0,0,0,1
2020-08-03,Negeri Sembilan,0,0,0.0,0,430,1205,0,0,0,0,1,0
2020-08-03,Pahang,0,0,0.0,0,78,1616,0,0,0,1,4,0
2020-08-03,Perak,0,0,0.0,0,235,2549,0,0,0,0,4,1
2020-08-03,Perlis,0,0,0.0,0,12,495,0,0,0,0,1,1
2020-08-03,Pulau Pinang,0,0,0.0,0,4,1124,0,0,0,0,0,2
2020-08-03,Sabah,0,0,1.0,0,410,2478,3,0,1,0,13,12
2020-08-03,Sarawak,0,0,3.0,0,785,2320,15,0,27,5,6,33
2020-08-03,Selangor,0,0,0.0,0,224,783,1,1,4,0,27,37
2020-08-03,Terengganu,0,0,0.0,0,132,1209,0,0,0,0,0,3
2020-08-03,W.P. Kuala Lumpur,0,0,0.0,0,87,2510,0,0,0,0,0,1
2020-08-03,W.P. Labuan,0,1,0.0,0,11,115,0,0,0,0,0,0
2020-08-04,Johor,0,0,3.0,0,586,2579,2,0,3,3,35,10
2020-08-04,Kedah,0,0,0.0,0,170,1183,0,1,0,0,21,0
2020-08-04,Kelantan,0,0,0.0,0,217,1381,0,0,0,0,0,0
2020-08-04,Melaka,0,0,0.0,0,26,1039,0,0,0,0,0,1
2020-08-04,Negeri Sembilan,0,0,1.0,0,430,1205,0,0,0,1,0,0
2020-08-04,Pahang,0,0,0.0,0,78,1616,0,0,0,0,4,0
2020-08-04,Perak,0,0,0.0,0,235,2549,0,0,1,0,4,0
2020-08-04,Perlis,0,1,0.0,0,12,495,1,1,0,0,2,2
2020-08-04,Pulau Pinang,0,0,0.0,0,4,1124,0,0,1,0,0,1
2020-08-04,Sabah,0,0,0.0,0,410,2478,3,0,5,0,13,10
2020-08-04,Sarawak,0,0,8.0,0,785,2320,14,0,16,8,4,30
2020-08-04,Selangor,0,0,4.0,0,224,783,5,0,6,1,24,42
2020-08-04,Terengganu,0,0,0.0,0,132,1209,1,0,0,0,0,4
2020-08-04,W.P. Kuala Lumpur,0,0,0.0,0,87,2510,1,0,0,0,0,2
2020-08-04,W.P. Labuan,0,0,0.0,0,11,115,0,0,0,0,0,0
2020-08-05,Johor,0,1,1.0,0,586,2579,2,1,1,1,34,12
2020-08-05,Kedah,0,3,0.0,0,170,1183,0,3,0,0,24,0
2020-08-05,Kelantan,0,0,0.0,0,217,1381,0,0,0,0,0,0
2020-08-05,Melaka,0,0,0.0,0,26,1039,0,1,0,0,1,1
2020-08-05,Negeri Sembilan,0,0,1.0,0,430,1205,0,0,0,0,0,0
2020-08-05,Pahang,0,0,0.0,0,78,1616,0,0,0,0,4,0
2020-08-05,Perak,0,0,0.0,0,235,2549,2,0,0,1,3,2
2020-08-05,Perlis,0,0,0.0,0,12,495,3,0,0,0,2,5
2020-08-05,Pulau Pinang,0,0,0.0,0,4,1124,0,0,0,0,0,1
2020-08-05,Sabah,0,2,2.0,0,410,2478,3,1,0,2,13,13
2020-08-05,Sarawak,0,0,12.0,0,785,2320,17,0,13,10,3,36
2020-08-05,Selangor,0,0,1.0,0,224,783,5,2,9,1,25,39
2020-08-05,Terengganu,0,0,0.0,0,132,1209,0,0,1,0,0,3
2020-08-05,W.P. Kuala Lumpur,15,15,1.0,0,87,2510,0,0,0,0,0,2
2020-08-05,W.P. Labuan,0,0,0.0,0,11,115,1,0,0,0,0,1
2020-08-06,Johor,0,0,2.0,0,586,2579,1,0,1,1,33,12
2020-08-06,Kedah,0,6,0.0,0,170,1183,0,1,0,0,26,2
2020-08-06,Kelantan,0,0,0.0,0,217,1381,0,0,0,0,0,0
2020-08-06,Melaka,0,0,0.0,0,26,1039,0,0,0,0,1,1
2020-08-06,Negeri Sembilan,0,2,0.0,0,430,1205,0,2,0,0,2,0
2020-08-06,Pahang,0,0,0.0,0,78,1616,0,0,0,3,1,0
2020-08-06,Perak,0,0,1.0,0,235,2549,0,0,0,0,3,2
2020-08-06,Perlis,0,0,0.0,0,12,495,5,0,0,0,2,9
2020-08-06,Pulau Pinang,0,0,0.0,0,4,1124,0,0,0,0,0,1
2020-08-06,Sabah,4,4,2.0,0,410,2478,1,0,2,1,11,12
2020-08-06,Sarawak,0,0,4.0,0,785,2320,5,0,12,5,3,29
2020-08-06,Selangor,0,0,1.0,0,224,783,14,2,9,2,24,44
2020-08-06,Terengganu,0,0,0.0,0,132,1209,0,0,1,0,0,2
2020-08-06,W.P. Kuala Lumpur,1,2,1.0,0,87,2510,0,0,0,0,0,2
2020-08-06,W.P. Labuan,0,1,0.0,0,11,115,0,0,0,0,0,1
